CO 	N 	 idle
566 	1 	26.19
72 	2 	26.25
102 	3 	26.32
128 	4 	26.37
157 	5 	26.43
175 	6 	26.47
200 	7 	26.52
221 	8 	26.56
230 	9 	26.59
261 	10 	26.62
255 	11 	26.65
281 	12 	26.68
294 	13 	26.71
300 	14 	26.73
308 	15 	26.75
326 	16 	26.76
330 	17 	26.78
353 	18 	26.79
353 	19 	26.8
377 	20 	26.81
367 	21 	26.82
397 	22 	26.82
427 	23 	26.82
397 	24 	26.82
416 	25 	26.82
406 	26 	26.82
448 	27 	26.81
438 	28 	26.81
473 	29 	26.8
456 	30 	26.79
459 	31 	26.78
485 	32 	26.77
499 	33 	26.75
464 	34 	26.74
496 	35 	26.72
536 	36 	26.7
508 	37 	26.68
520 	38 	26.66
518 	39 	26.64
547 	40 	26.61
549 	41 	26.58
501 	42 	26.56
548 	43 	26.53
548 	44 	26.51
556 	45 	26.48
546 	46 	26.45
553 	47 	26.42
544 	48 	26.4
553 	49 	26.37
555 	50 	26.34
549 	51 	26.31
552 	52 	26.28
554 	53 	26.25
561 	54 	26.22
551 	55 	26.2
557 	56 	26.17
559 	57 	26.14
553 	58 	26.11
549 	59 	26.08
557 	60 	26.05
557 	61 	26.02
551 	62 	25.99
553 	63 	25.96
548 	64 	25.93
551 	65 	25.9
554 	66 	25.87
560 	67 	25.85
551 	68 	25.82
552 	69 	25.79
562 	70 	25.76
559 	71 	25.73
552 	72 	25.7
554 	73 	25.67
546 	74 	25.64
458 	75 	25.61
542 	76 	25.58
553 	77 	25.55
555 	78 	25.53
548 	79 	25.5
540 	80 	25.47
563 	81 	25.44
554 	82 	25.41
545 	83 	25.38
542 	84 	25.35
554 	85 	25.32
546 	86 	25.29
539 	87 	25.27
538 	88 	25.24
539 	89 	25.21
548 	90 	25.18
549 	91 	25.15
550 	92 	25.12
557 	93 	25.09
544 	94 	25.07
546 	95 	25.04
549 	96 	25.01
558 	97 	24.98
553 	98 	24.95
535 	99 	24.92
550 	100 	24.9
530 	101 	24.87
546 	102 	24.84
540 	103 	24.81
538 	104 	24.78
538 	105 	24.75
514 	106 	24.73
540 	107 	24.7
535 	108 	24.67
538 	109 	24.64
551 	110 	24.61
535 	111 	24.59
549 	112 	24.56
544 	113 	24.53
526 	114 	24.5
538 	115 	24.48
538 	116 	24.45
529 	117 	24.42
529 	118 	24.39
522 	119 	24.36
546 	120 	24.34
524 	121 	24.31
517 	122 	24.28
543 	123 	24.25
535 	124 	24.23
527 	125 	24.2
530 	126 	24.17
520 	127 	24.14
529 	128 	24.12
524 	129 	24.09
528 	130 	24.06
528 	131 	24.04
533 	132 	24.01
529 	133 	23.98
533 	134 	23.96
527 	135 	23.93
532 	136 	23.9
533 	137 	23.88
531 	138 	23.85
543 	139 	23.82
536 	140 	23.79
540 	141 	23.77
534 	142 	23.74
532 	143 	23.71
530 	144 	23.69
543 	145 	23.66
534 	146 	23.63
521 	147 	23.61
530 	148 	23.58
529 	149 	23.55
527 	150 	23.53
